STB,Analista,Turno,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 02 - InfoTigo","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 03 - City TV","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 04 - InstHD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 05 - TAntioqHD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 06 - TMedellHD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 07 - Caracol HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 08 - Canal1 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 09 - RCN HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 10 - Cosmov HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 12 - Disney HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 13 - Nick HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 14 - Cartoon HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 15 - D Kids HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 16 - Disney Jr HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 17 - Nick Jr HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 18 - Cartoonito HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 19 - DREAMW HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 20 - Tooncast HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 21 - Baby TV","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 22 - ZooMoo HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 23 - PLIMPLIM HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 24 - Senal Col HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 25 - Win SpHD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 26 - ESPN HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 27 - ESPN2 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 28 - ESPN3 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 29 - ESPN4 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 30 - ESPN5 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 31 - ESPN6 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 32 - ESPN7 HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 33 - PXSports HD","V OK","A1 OK","N/A","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 34 - DBIKE HD","V OK","A1 OK","N/A","L OK","E OK",""
